Node,Depth (m),Disp X (mm),Disp Y (mm),"Disp Z (mm, +up/-down)",Section Depth (m),Axial Force (kN),Shear X' (kN),Shear Y' (kN),Moment X' (kN*m),Moment Y' (kN*m)
1,0.00000000,0.93067932,-0.00000000,-3.11062672,0.00000000,876.16554872,-40.47674909,-0.00000003,0.00000003,-37.58217759
2,0.06750000,0.91402674,-0.00000000,-3.09428538,0.06750000,875.54421958,-39.79465041,-0.00000003,0.00000003,-34.84999703
3,0.13500000,0.89702992,-0.00000000,-3.07795563,0.13500000,874.80859533,-39.09826767,-0.00000003,0.00000003,-32.16385813
4,0.20250000,0.87971893,-0.00000000,-3.06163960,0.20250000,873.99810329,-38.38797963,-0.00000003,0.00000003,-29.52472506
5,0.27000000,0.86212330,-0.00000000,-3.04533869,0.27000000,873.13104856,-37.66416351,-0.00000003,0.00000003,-26.93353644
6,0.33750000,0.84427199,-0.00000000,-3.02905395,0.33750000,872.21834371,-36.92719421,-0.00000003,0.00000002,-24.39120540
7,0.40500000,0.82619345,-0.00000000,-3.01278623,0.40500000,871.26735511,-36.17744349,-0.00000003,0.00000002,-21.89861979
8,0.47250000,0.80791554,-0.00000000,-2.99653625,0.47250000,870.28344597,-35.41527928,-0.00000003,0.00000002,-19.45664235
9,0.54000000,0.78946555,-0.00000000,-2.98030462,0.54000000,869.27072609,-34.64106489,-0.00000003,0.00000002,-17.06611100
10,0.60750000,0.77087019,-0.00000000,-2.96409188,0.60750000,868.23246351,-33.85515836,-0.00000002,0.00000002,-14.72783912
11,0.67500000,0.75215560,-0.00000000,-2.94789850,0.67500000,867.17133080,-33.05791177,-0.00000002,0.00000001,-12.44261593
12,0.74250000,0.73334730,-0.00000000,-2.93172491,0.74250000,866.08956215,-32.24967060,-0.00000002,0.00000001,-10.21120689
13,0.81000000,0.71447022,-0.00000000,-2.91557150,0.81000000,864.98905862,-31.43077312,-0.00000002,0.00000001,-8.03435412
14,0.87750000,0.69554866,-0.00000000,-2.89943862,0.87750000,863.87146154,-30.60154978,-0.00000002,0.00000001,-5.91277694
15,0.94500000,0.67660631,-0.00000000,-2.88332658,0.94500000,862.73820534,-29.76232271,-0.00000002,0.00000001,-3.84717233
16,1.01250000,0.65766624,-0.00000000,-2.86723567,1.01250000,861.59055672,-28.91340511,-0.00000002,0.00000001,-1.83821554
17,1.08000000,0.63875087,-0.00000000,-2.85116617,1.08000000,860.42964419,-28.05510081,-0.00000002,0.00000001,0.11343930
18,1.14750000,0.61988199,-0.00000000,-2.83511833,1.14750000,859.25648097,-27.18770378,-0.00000002,0.00000001,2.00715861
19,1.21500000,0.60108074,-0.00000000,-2.81909236,1.21500000,858.07198291,-26.31149767,-0.00000002,0.00000000,3.84232861
20,1.28250000,0.58236760,-0.00000000,-2.80308849,1.28250000,856.87698285,-25.42675543,-0.00000002,0.00000000,5.61835470
21,1.35000000,0.56376239,-0.00000000,-2.78710690,1.35000000,855.67224214,-24.53373890,-0.00000001,0.00000000,7.33466069
22,1.41750000,0.54528429,-0.00000000,-2.77114778,1.41750000,854.45225685,-23.63269847,-0.00000001,0.00000000,8.99068807
23,1.48500000,0.52695177,-0.00000000,-2.75521142,1.48500000,853.20946242,-22.72387276,-0.00000001,-0.00000000,10.58589522
24,1.55250000,0.50878265,-0.00000000,-2.73929823,1.55250000,851.94476068,-21.80733296,-0.00000001,-0.00000000,12.11975663
25,1.62000000,0.49079407,-0.00000000,-2.72340864,1.62000000,850.65900255,-20.88803140,-0.00000001,-0.00000000,13.59175160
26,1.68750000,0.47300224,-0.00000000,-2.70754302,1.68750000,849.35299298,-19.97036685,-0.00000001,-0.00000000,15.00169372
27,1.75500000,0.45542245,-0.00000000,-2.69170177,1.75500000,848.02749537,-19.05471718,-0.00000001,-0.00000000,16.34969348
28,1.82250000,0.43806929,-0.00000000,-2.67588523,1.82250000,846.68323528,-18.14143492,-0.00000001,-0.00000000,17.63588689
29,1.89000000,0.42095668,-0.00000000,-2.66009377,1.89000000,845.32090375,-17.23084703,-0.00000001,-0.00000000,18.86043375
30,1.95750000,0.40409784,-0.00000000,-2.64432771,1.95750000,843.94116016,-16.32325470,-0.00000001,-0.00000001,20.02351593
31,2.02500000,0.38750529,-0.00000000,-2.62858739,2.02500000,842.54463484,-15.41893319,-0.00000001,-0.00000001,21.12533562
32,2.09250000,0.37119088,-0.00000000,-2.61287312,2.09250000,841.13193126,-14.51813174,-0.00000001,-0.00000001,22.16611361
33,2.16000000,0.35516578,-0.00000000,-2.59718519,2.16000000,839.70362810,-13.62107354,-0.00000001,-0.00000001,23.14608750
34,2.22750000,0.33944048,-0.00000000,-2.58152390,2.22750000,838.26028105,-12.72795575,-0.00000001,-0.00000001,24.06550996
35,2.29500000,0.32402481,-0.00000000,-2.56588954,2.29500000,836.80242436,-11.83894952,-0.00000001,-0.00000001,24.92464698
36,2.36250000,0.30892792,-0.00000000,-2.55028236,2.36250000,835.33057239,-10.95420016,-0.00000000,-0.00000001,25.72377607
